arousal,valence,happy-face,anger-face,sad-face,fear-face,surprise-face,disgust-face,control,fairness,self-relativity,other-relativity,expectedness,novelty
21499.5,9765,15502.5,6151.5,4309.5,7465,10325,13516,21,7691.5,18582.5,19439.5,27214.5,933.5
32162,18716.5,12145.5,27663,3188.5,3335.5,20691.5,25241.5,5099.5,13820.5,36750,36510.5,1522.5,13571.5
8631.5,2367.5,1369.5,24468.5,24697.5,28952,36042.5,26180,36503.5,6662,33454.5,36048.5,13835.5,26873
33471,35622.5,16930,17162.5,34561,33206.5,6500,16589,25831.5,35025,31670,28286.5,9265.5,6593
3043.5,16032,5221.5,28808,28247.5,33892.5,35421,31254.5,33565.5,20660,26392,28215,35304,31990.5
11160,31180,13671.5,20507,21511.5,4300,2942.5,15929.5,28544.5,18218,36753,17317.5,13050,35448
8785.5,12690.5,8827.5,23298,17448,6352,26432,19354,11788.5,21663.5,32598.5,18049,2994,2611.5
10096,8548,26669.5,18828,915,619.5,33548.5,15833,148.5,16545.5,27355,9536,5415,7071
2941.5,11160.5,19944,36446,19290.5,22866.5,9065,36600,10990.5,29145.5,12888,20907,27157.5,5230
2722,18674.5,3855,36121,34542.5,36053.5,14384.5,36385,33126,14823,36001.5,34266.5,15232.5,19046
8322.5,21061.5,9900.5,25503.5,13479,35826.5,36607,23684.5,27082.5,23342,35841,28142.5,32648,27306
16957.5,16449,3639,34876.5,31111.5,27942,33419,33839.5,6219.5,12618.5,33424,34134.5,23950,11271
33514,1666.5,2845.5,16332.5,1110.5,21,31913,15451.5,5977,3325,33792.5,29745,4925.5,17040
21650,2697,2903.5,27556.5,13604.5,25986,36603.5,23173,16995.5,5254.5,31350.5,28326.5,15988,4929
21949,2064,4320.5,5145.5,864,493,33765.5,9242.5,4510,2124.5,30106.5,17185.5,24770,14819.5
775,19320,6467.5,22485.5,31842.5,22928,6461.5,28541.5,28019.5,6284.5,33361.5,30394.5,28047.5,26145
7292.5,656.5,1500,22229.5,2798.5,10170,31123,21258.5,20201.5,996.5,20302.5,35712,33160,6419
874,11747,6939.5,30232.5,25708.5,32004.5,10226.5,31392.5,36222,5190.5,35505.5,36026,13279.5,34170.5
23552.5,18674.5,6319.5,3360.5,33881,33618.5,1626,6717,33552.5,23445,34741,25602.5,18861,1870.5
29129.5,30593,16562,24187,7454,6029.5,13362.5,18438,31054,6255.5,34109,30841,7287,25272.5
28750.5,30811,13041.5,23718,29490,32554.5,3602.5,25059,23350,19675.5,34468.5,25331,6510,14182.5
24563,11891,10671.5,24424.5,17087.5,34976,18253.5,27792,32382.5,3506.5,3804.5,33151.5,30112.5,18053
34294,1109,813,8333,10739,3204,15010,8076,29669,1212.5,31809.5,25620,18645,34943
2385,2007.5,878.5,31597.5,21871.5,19864.5,35799.5,33342.5,15231,3547,36051.5,33103.5,34566,20672
24417.5,11934,1387,35317.5,35769.5,35940.5,24462,34105,31270,12128,36304,35290.5,22214.5,32609
3040,35364.5,23017,31888,36258.5,34444.5,1096.5,29271,22826.5,29664,30227,18169,20953.5,32467.5
36805,35921.5,18651.5,35518,23630.5,15041.5,13320,36129.5,4565,20229.5,35937,35972,5975,24640
12302,35025.5,15495.5,34548.5,30118.5,35841.5,27223.5,34702,15290.5,30937,23344.5,30237.5,18040,4215.5
7749,29730,17410,28376.5,23537,8566.5,5639,27786.5,11756.5,25382.5,36350,17007.5,7859,16126
457,25331.5,23672.5,10977.5,17555.5,31854.5,33819,15495.5,32030,29268.5,29315.5,16050,31993,33843.5
25404.5,32626.5,17646.5,25447,9773.5,24875.5,8489,26547.5,14688,17203.5,32849.5,33939,7571.5,6797.5
26626.5,25995,9689.5,14931,31329.5,36797,27633.5,17034,36269.5,6647,13464.5,26100.5,36807,36518.5
20997.5,15553,4740,35994,10242,24194,33302,35937.5,668,6328.5,36576,36053,16763.5,4410
32906.5,34630.5,36857,18966,5319,6237,1241,21733,536.5,33151.5,24807.5,33892.5,4649.5,833
14731,8637.5,5278,11486,4770.5,2576,7622.5,18766.5,12895,7836.5,33956.5,23340.5,12526.5,21846.5
35868,36466,23452,15880,20297.5,31586.5,18747.5,17710,25093,13000,20497,20124,36046.5,33615
19389.5,29473,17768,35796.5,32326,26674.5,2431.5,35979,23583.5,12228.5,31360,36005,297,13812
34258.5,36811,24943.5,33011,22875,32962,26835.5,35356.5,6623,32742.5,35414,36275,16042.5,29496.5
36444,22054,4372,32024.5,23565.5,33090.5,21131,31662,27608,10048.5,36127.5,36432.5,19745,20465
16721.5,29457.5,31662,17162.5,464,3310.5,22993,11355.5,19677.5,9192,28276,21521,15012,7864.5
22083,9405,2828,33367,31721.5,24080,33882,31719.5,32713,10098.5,29831,35526,13791,9275.5
30629.5,30165,10115.5,32094.5,36401.5,29249.5,11160,32915.5,36499.5,10969,36776.5,34130.5,15536,28381.5
36730,33315,29348.5,22555,2666,9748.5,29423.5,20022,4425,28337.5,36828,35698,340.5,28401.5
10758,1645,1274,33217,27611.5,28576,23115.5,32454.5,23785,1668,32508,31562.5,25618.5,12321
14591.5,5993,4287,31825,26821.5,22622.5,23058.5,31052,36528.5,14372.5,29345,29967,31964.5,28744
30216.5,5279,948,31199,25547,24788.5,29282,28059.5,25160.5,2630,35409.5,33773.5,15954.5,23218.5
27275,1524,10858,1759.5,590,1023,10100.5,3936.5,2322.5,9063,12435.5,14193.5,19308,2976.5
15488.5,35276.5,19979,14642,16271,29513.5,25340.5,22788.5,29555.5,18002,22472.5,36129,9789,30766
22770.5,480,2641,4860,393,802,25024,7360,770,205,9016,18290,14422,20105
18368,12886,3465,29282.5,32241,30236,30135,30021,31263,9475.5,36407.5,35353.5,23562,12910
26975,24937.5,10615,36014,27916,32459.5,27274.5,36022,16532.5,11274,35525.5,36344.5,10364,8741.5
29284.5,35825,30665.5,21597,35126.5,33221.5,2891,17454.5,36015.5,22826,34058,25675,5373,32120.5
14548.5,33845.5,23304.5,31318.5,19185.5,34278,34481,31821.5,4941,31241.5,27081,30308.5,11972,8540.5
24790,2681.5,6303,6033.5,559.5,2560.5,7386.5,12327.5,1285,2627,23465,25803.5,14880.5,297
17550,1910,764,6614.5,17501,9686.5,6214.5,10821.5,10350.5,966.5,8692,26520.5,16303,24277
34362.5,30010,16157,14465,35923.5,34074.5,19838.5,18041,33645,18649.5,4800,15421.5,36641,10778
14240,12011,5792,29583,31445.5,33343.5,1595.5,26074.5,30507,4986,21348.5,33574.5,13377.5,18257.5
16252,25465,9044,35648.5,19942,36084.5,19159,35566,22393.5,10495,35137.5,30367.5,34950.5,15304
10721.5,16514.5,6761.5,21998,32532.5,17675.5,12564.5,21710.5,9729.5,6468,19318.5,26669.5,10272,24697
20160,22087,7805,36655.5,29662.5,32033,31906.5,36626.5,15891,19764.5,35822.5,36587,13321.5,8711.5
18330,36321,15280,20317.5,35306.5,34654.5,1766.5,26117,32889,27109,24848,25696.5,32663,17689.5
22976,15659,24027.5,25815.5,516,1685,34688,25855,433.5,14689.5,33547,26881.5,4738.5,10516.5
28960,19795,6935.5,25009,17386.5,32995,32405,29833.5,27158.5,9638,15899.5,29884.5,30943.5,36646
758,11805,5553.5,36832,21882,31862.5,29692.5,36859,21020.5,12342,26531,19836.5,24480.5,36057.5
24903,26874,17473.5,4577,1839.5,21017.5,24219.5,4501.5,20918.5,14737,31090,23663,34860.5,25370.5
28929.5,24555.5,3706.5,36715,28694.5,23829,7396.5,36525,15904.5,4301.5,36778,35798,20368,19360.5
28755.5,6109.5,11179,9500.5,12017,21694.5,4956,14108,25831.5,3439,17900.5,26621,20977.5,34179
24555.5,35342.5,18296,32487,21079,26260,15065,30608.5,25400.5,31620.5,34291,35034,27214.5,10511
5301,23915,11878,34386,22370.5,32320.5,17536,32488,12450,16311.5,36568,35323.5,11740.5,12284.5
36086.5,36244,20442.5,25659,33459,35575,10396,23335,35360,30305,25321,21007.5,29395,36403.5
35425.5,36068,11885.5,13126.5,30369,36766,6720,18941,36111,24213,32378,30053.5,17556,35434.5
15324,3536,828,35207.5,34218,33268.5,29057.5,33514.5,36474,2676.5,35617.5,32896,33877.5,31478
30830,4357.5,624,34591.5,33479.5,33294.5,34954,33443,35555,4934.5,32898.5,36209,32466,16672
26435,36834.5,35655,21824.5,31418.5,32435.5,8203,23834.5,29868.5,26155.5,31827,25023.5,6496.5,26368.5
29765.5,34200,13404.5,14979.5,30660,35818,28479,14825,14529,25556.5,32990,25225,28699,5184.5
20787.5,4410.5,21129.5,13566,741,564.5,29190.5,20304,300.5,15592,27682,18952,5889,4330.5
6456,21953,9760,35816.5,27650.5,36718,11558.5,34875,22248,19554.5,35260.5,31911,15700,18689
23744.5,413.5,284,10575.5,5182,7804.5,29896,11876.5,28310,62,34112.5,33208.5,31581.5,11934
7367.5,3003.5,8832.5,8155,844,316,20831,10162,10609,6626.5,27769.5,11911,20655,23356.5
17441,3051,1055,24285,20273.5,19387,24258.5,23278,28544.5,1384,20941.5,32466,32601.5,25579
9343,23994.5,13856,30439.5,7040,13303,20244,30138.5,15666,3047,13394.5,9950.5,36729,35601.5
3189.5,24347.5,24212,25718.5,15513,9232,9007.5,26024.5,4418,20555.5,30120.5,17502,11865.5,36533
27530,35590.5,17871,30754.5,36507,30894.5,4830.5,31613,36582,33074.5,36504,35919.5,5451.5,16395.5
19817,15376,6768,16279.5,17811.5,33780,23447.5,20066,32976,13058.5,29022,18338,25880.5,16672
28405.5,32221.5,35056,17193,19730.5,1361,12451.5,19569.5,13636.5,34605.5,19771.5,13188.5,2842,34674
18655,26570.5,8936.5,25207,35201,34723.5,34283.5,27940,30570.5,22373,25176.5,27730,34412.5,27097.5
9267.5,35253.5,16085,26890,22939,30968,13059,28862.5,23040.5,17560.5,32325,31158,28097,13449
35452,17567,3211,35297,24251.5,29969,21642,35179.5,21283.5,11167,35134,36034,20356.5,19277.5
29001,30762,20100,9987.5,22421.5,6986.5,7358.5,12998,27177,16962.5,28031.5,23502.5,18551.5,35035.5
23309.5,6446,5810,8139.5,6059,1961.5,380,6475,31010,2876.5,24276.5,20372,28047.5,36003
5739,21851,4979.5,28569,35208,36214.5,18354,29005,36831,18561.5,35050,21350.5,27136.5,34500.5
35934,34369,22306,10797,2545,8817,20642,9225.5,3767.5,13210.5,34612,34393.5,8615,25962
34388,33776.5,22617,19544.5,9465,36006,3598.5,24305,26840.5,18271,18800,36155,17056.5,10314.5
14858,13008.5,5682,30561.5,35251,31307,25052.5,29526,25236,2974,19741.5,22024.5,27309,29532.5
3280.5,27223.5,33280.5,6655,6167.5,12751.5,25052.5,6868.5,2198.5,21090.5,32577.5,9896,20151,34633.5
15730,19415,22476.5,30160,13627,3458,6268.5,27051.5,2610.5,18039,29653.5,15033.5,486,16988.5
22602.5,27202.5,11268.5,32991.5,12611,22820.5,22523,33879,1320.5,8379.5,36182,35787,17864.5,22666.5
738,10844,18670,10088,10959,33306.5,8874,16023.5,33225,24139,12819,20592.5,33655.5,20399.5
30250.5,30656,26970,33148,13597.5,2318,24638.5,30316.5,10980,16994,25259.5,22155,6672.5,22421.5
